variant,model,evaluation_set,num_rows,num_stable,num_both,balanced_accuracy,accuracy,precision_both,recall_both,tn,fp,fn,tp,balanced_accuracy_ci_low,balanced_accuracy_ci_high,bootstrap_samples
X1,logreg,source_test,95,48,47,0.6959219858156028,0.6947368421052632,0.6551724137931034,0.8085106382978723,28,20,9,38,0.594197920500552,0.8019602774832094,2000
X1,logreg,audited_test,206,145,61,0.47953646127755795,0.46116504854368934,0.2807017543859649,0.5245901639344263,63,82,29,32,0.3990878713485096,0.5575063025278751,2000
X1,mlp,source_test,95,48,47,0.7276152482269503,0.7263157894736842,0.6779661016949152,0.851063829787234,29,19,7,40,0.6319320935228436,0.8200388939359526,2000
X1,mlp,audited_test,206,145,61,0.5097230073487846,0.49029126213592233,0.30357142857142855,0.5573770491803278,67,78,27,34,0.43592278337185336,0.584771412557117,2000
X2,logreg,source_test,95,48,47,0.7167553191489362,0.7157894736842105,0.6785714285714286,0.8085106382978723,30,18,9,38,0.6121064814814815,0.8202573696145125,2000
X2,logreg,audited_test,206,145,61,0.5105709440361786,0.5048543689320388,0.3047619047619048,0.5245901639344263,72,73,29,32,0.4297027894925439,0.5858283606235432,2000
X2,mlp,source_test,95,48,47,0.7167553191489362,0.7157894736842105,0.6785714285714286,0.8085106382978723,30,18,9,38,0.6280615371148459,0.8023535770440252,2000
X2,mlp,audited_test,206,145,61,0.5386093838326738,0.5242718446601942,0.32710280373831774,0.5737704918032787,73,72,26,35,0.45989976345595696,0.6145141707251082,2000
X3,logreg,source_test,95,48,47,0.7167553191489362,0.7157894736842105,0.6785714285714286,0.8085106382978723,30,18,9,38,0.6068334291738547,0.8237202380952381,2000
X3,logreg,audited_test,206,145,61,0.5105709440361786,0.5048543689320388,0.3047619047619048,0.5245901639344263,72,73,29,32,0.42924785834942086,0.5904675110354553,2000
X3,mlp,source_test,95,48,47,0.68572695035461,0.6842105263157895,0.639344262295082,0.8297872340425532,26,22,8,39,0.5843266441005802,0.7872560726418226,2000
X3,mlp,audited_test,206,145,61,0.5269643866591294,0.5145631067961165,0.3177570093457944,0.5573770491803278,72,73,27,34,0.4497025140793835,0.601990416431991,2000
